report_version,1.0
repo_relative_path,entity_type,original_value,masked_value,start_offset,end_offset
ICICI-BANK-LOAN-PLATFORM/config/db.properties,COMPANY_BRAND,ICICI,SCRAMBLE_COMPANY_BRAND_000001,2,7
ICICI-BANK-LOAN-PLATFORM/config/db.properties,DATABASE_URL,jdbc:postgresql://db.icici.internal:5432/loan,SCRAMBLE_DATABASE_URL_000001,57,102
ICICI-BANK-LOAN-PLATFORM/config/db.properties,DATABASE_URL,jdbc:mysql://localhost:3306/customer,SCRAMBLE_DATABASE_URL_000002,115,151
ICICI-BANK-LOAN-PLATFORM/config/db.properties,DATABASE_URL,jdbc:oracle:thin:@//oracle.icici.internal:1521/prod,SCRAMBLE_DATABASE_URL_000003,163,214
ICICI-BANK-LOAN-PLATFORM/config/db.properties,IP_ADDRESS,10.20.30.40,SCRAMBLE_IP_ADDRESS_000001,223,234
ICICI-BANK-LOAN-PLATFORM/config/db.properties,PASSWORD,root123,SCRAMBLE_PASSWORD_000001,247,254
ICICI-BANK-LOAN-PLATFORM/config/kafka.properties,COMPANY_BRAND,icici,SCRAMBLE_COMPANY_BRAND_000002,25,30
ICICI-BANK-LOAN-PLATFORM/config/kafka.properties,COMPANY_BRAND,icici,SCRAMBLE_COMPANY_BRAND_000003,52,57
ICICI-BANK-LOAN-PLATFORM/config/kafka.properties,URL,https://internal.icici.com/loan-api/v1/schema,SCRAMBLE_URL_000001,92,137
ICICI-BANK-LOAN-PLATFORM/config/kafka.properties,API_KEY,abcdef1234567890SCRAMBLETEST,SCRAMBLE_API_KEY_000001,215,243
ICICI-BANK-LOAN-PLATFORM/config/oauth.properties,COMPANY_BRAND,icici,SCRAMBLE_COMPANY_BRAND_000004,16,21
ICICI-BANK-LOAN-PLATFORM/config/oauth.properties,SECRET_KEY,super-secret,SCRAMBLE_SECRET_KEY_000001,54,66
ICICI-BANK-LOAN-PLATFORM/config/oauth.properties,URL,https://internal.icici.com/loan-api/v1/oauth/token,SCRAMBLE_URL_000002,83,133
ICICI-BANK-LOAN-PLATFORM/config/oauth.properties,URL,https://internal.icici.com/callback,SCRAMBLE_URL_000003,149,184
ICICI-BANK-LOAN-PLATFORM/config/oauth.properties,JWT,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyIjoiaWNpY2k6Iiwicm9sZSI6ImFkbWluIn0.SIGNATURE6TOKEN1234567890ABCDEF,SCRAMBLE_JWT_000001,195,307
ICICI-BANK-LOAN-PLATFORM/config/oauth.properties,EMAIL,customer023@loans.icici.internal,SCRAMBLE_EMAIL_000001,320,352
ICICI-BANK-LOAN-PLATFORM/config/redis.properties,COMPANY_BRAND,icici,SCRAMBLE_COMPANY_BRAND_000005,17,22
ICICI-BANK-LOAN-PLATFORM/config/redis.properties,PASSWORD,admin123,SCRAMBLE_PASSWORD_000002,63,71
ICICI-BANK-LOAN-PLATFORM/config/redis.properties,IP_ADDRESS,10.20.30.41,SCRAMBLE_IP_ADDRESS_000002,90,101
ICICI-BANK-LOAN-PLATFORM/config/redis.properties,EMAIL,customer024@gmail.com,SCRAMBLE_EMAIL_000002,121,142
ICICI-BANK-LOAN-PLATFORM/config/secrets.properties,PASSWORD,admin123,SCRAMBLE_PASSWORD_000003,46,54
ICICI-BANK-LOAN-PLATFORM/config/secrets.properties,PASSWORD,secret123,SCRAMBLE_PASSWORD_000004,64,73
ICICI-BANK-LOAN-PLATFORM/config/secrets.properties,PASSWORD,root123,SCRAMBLE_PASSWORD_000005,86,93
ICICI-BANK-LOAN-PLATFORM/config/secrets.properties,API_KEY,abcdef1234567890SCRAMBLETEST,SCRAMBLE_API_KEY_000002,102,130
ICICI-BANK-LOAN-PLATFORM/config/secrets.properties,API_KEY,xyz987654,SCRAMBLE_API_KEY_000003,139,148
